,grant_amt_thousands,institution,state_or_country,latitude,longitude
0,156067,LOCKHEED MARTIN CORPORATION,Maryland,38.9603766,-77.0848197
1,155565,"Consortium for Ocean Leadership, Inc",District of Columbia,38.9071923,-77.0368707
2,153120,University of Illinois at Urbana-Champaign,Illinois,40.1019523,-88.2271615
3,121958,University Corporation For Atmospheric Res,Colorado,39.5500507,-105.7820674
4,118327,Cornell University,New York,42.4534492,-76.4735027
5,103897,University of California-Berkeley,California,37.8739132,-122.2505629
6,101973,University of Wisconsin-Madison,Wisconsin,43.076592,-89.4124875
7,96108,University of Washington,Washington,47.65533509999999,-122.3035199
8,94272,University of Michigan Ann Arbor,Michigan,42.2780436,-83.7382241
9,88334,California Institute of Technology,California,34.1376576,-118.125269
10,87291,"National Ecological Observatory Network, Inc",Colorado,40.01650619999999,-105.2454729
11,87212,Department of Defense,California,38.5791972,-121.4884316
12,83139,Purdue University,Indiana,40.4237054,-86.92119459999999
13,82143,Columbia University,New York,40.8075355,-73.9625727
14,76082,Carnegie-Mellon University,Pennsylvania,40.4424925,-79.9425528
15,75455,University of California-San Diego,California,32.8800604,-117.2340135
16,73920,Associated Universities Inc/National Radio Astronomy Observatory,Virginia,37.4315734,-78.6568942
17,73417,Michigan State University,Michigan,42.701848,-84.4821719
18,73008,University of Colorado at Boulder,Colorado,40.00758099999999,-105.2659417
19,72252,Massachusetts Institute of Technology,Massachusetts,42.360091,-71.09416
20,71680,University of Minnesota-Twin Cities,Minnesota,44.97399,-93.2277285
21,71260,Georgia Tech Research Corporation,Georgia,32.1656221,-82.9000751
22,69408,Woods Hole Oceanographic Institution,Massachusetts,41.52422989999999,-70.67106940000001
23,69004,University of California-Los Angeles,California,34.068921,-118.4451812
24,67940,University of Arizona,Arizona,33.4522217,-112.0662126
25,66113,Stanford University,California,37.4274745,-122.169719
26,62305,Harvard University,Massachusetts,42.3770029,-71.11666009999999
27,61585,University of Texas at Austin,Texas,30.28065429999999,-97.7327641
28,61325,Pennsylvania State Univ University Park,Pennsylvania,40.796111,-77.86277799999999
29,59069,University of California-Davis,California,38.5368041,-121.7489938
30,57255,University of Maryland College Park,Maryland,38.9869183,-76.9425543
31,52929,Princeton University,New Jersey,40.3439888,-74.6514481
32,51675,"Association of Universities for Research in Astronomy, Inc.",District of Columbia,38.9071923,-77.0368707
33,51400,North Carolina State University,North Carolina,35.7846633,-78.6820946
34,50481,Arizona State University,Arizona,33.4242399,-111.9280527
35,49866,Florida State University,Florida,30.4418778,-84.2984889
36,48862,Ohio State University,Ohio,40.0141905,-83.03091429999999
37,46975,University of California-Santa Barbara,California,34.4139629,-119.848947
38,45017,University of Chicago,Illinois,41.7886079,-87.5987133
39,44633,Duke University,North Carolina,36.0014258,-78.9382286
40,43976,Northwestern University,Illinois,42.0564594,-87.67526699999999
41,41766,University of California-Irvine,California,33.6404952,-117.8442962
42,41626,Rutgers University New Brunswick,New Jersey,40.4786708,-74.43178929999999
43,41280,University of Southern California,California,34.0223519,-118.285117
44,40282,Johns Hopkins University,Maryland,39.3249281,-76.62335379999999
45,39693,University of Massachusetts Amherst,Massachusetts,42.3911569,-72.5267121
46,39558,Incorporated Research Institutions for Seismology,District of Columbia,38.9071923,-77.0368707
47,38829,Virginia Polytechnic Institute and State University,Virginia,37.22838429999999,-80.42341669999999
48,38366,University of Pennsylvania,Pennsylvania,39.9522188,-75.1932137
49,37232,University of Utah,Utah,40.7649368,-111.8421021
